question_id,role,topic,difficulty_claimed,question,source_docs,role_relevance_1_5,topic_relevance_1_5,grounding_1_5,technical_correctness_1_5,clarity_1_5,difficulty_matches_claim_1_5,is_duplicate_of_earlier_y_n,hallucination_y_n,annotator_id
machine-learning-0,machine-learning,python,intermediate,"What are the most common misconceptions about python you've seen in interviews or on the job? Include one concrete metric, system constraint, or edge case.",Machine Learning For Absolute Beginners.pdf; The Hundred-Page Machine Learning Book — Andriy Burkov.pdf,,,,,,,,,
machine-learning-1,machine-learning,classification,foundational,How would you explain classification to a junior engineer joining your team for the first time?,Machine Learning For Absolute Beginners.pdf; The Hundred-Page Machine Learning Book — Andriy Burkov.pdf,,,,,,,,,
machine-learning-2,machine-learning,rag,intermediate,"You listed rag as a strength. Walk through a real scenario where it mattered and what you'd do differently now. Include one concrete metric, system constraint, or edge case.",Machine Learning For Absolute Beginners.pdf; The Hundred-Page Machine Learning Book — Andriy Burkov.pdf,,,,,,,,,
machine-learning-3,machine-learning,sql,intermediate,"What are the most common misconceptions about sql you've seen in interviews or on the job? Include one concrete metric, system constraint, or edge case.",Machine Learning For Absolute Beginners.pdf; The Hundred-Page Machine Learning Book — Andriy Burkov.pdf,,,,,,,,,
machine-learning-4,machine-learning,information retrieval,intermediate,"Connect information retrieval to the Machine Learning Engineer role. What design decision would you make first, and what evidence would justify it? Include one concrete metric, system constraint, or edge case.",Machine Learning For Absolute Beginners.pdf; The Hundred-Page Machine Learning Book — Andriy Burkov.pdf,,,,,,,,,
machine-learning-5,machine-learning,pandas,intermediate,"Connect pandas to the Machine Learning Engineer role. What design decision would you make first, and what evidence would justify it? Include one concrete metric, system constraint, or edge case.",The Hundred-Page Machine Learning Book — Andriy Burkov.pdf,,,,,,,,,
machine-learning-6,machine-learning,model evaluation,intermediate,"You are applying model evaluation in a production system. What design decision would you make first and what metric would validate it? Include one concrete metric, system constraint, or edge case.",Machine Learning For Absolute Beginners.pdf; The Hundred-Page Machine Learning Book — Andriy Burkov.pdf,,,,,,,,,
machine-learning-7,machine-learning,regression,intermediate,"Suppose a candidate mentions regression on their resume. What signals distinguish surface familiarity from practical depth? Include one concrete metric, system constraint, or edge case.",Machine Learning For Absolute Beginners.pdf; The Hundred-Page Machine Learning Book — Andriy Burkov.pdf,,,,,,,,,
machine-learning-8,machine-learning,llm,intermediate,"Connect llm to the Machine Learning Engineer role. What design decision would you make first, and what evidence would justify it? Include one concrete metric, system constraint, or edge case.",Machine Learning For Absolute Beginners.pdf; The Hundred-Page Machine Learning Book — Andriy Burkov.pdf,,,,,,,,,
machine-learning-9,machine-learning,statistics,intermediate,"You are applying statistics in a production system. What design decision would you make first and what metric would validate it? Include one concrete metric, system constraint, or edge case.",Machine Learning For Absolute Beginners.pdf; The Hundred-Page Machine Learning Book — Andriy Burkov.pdf,,,,,,,,,
